County,FIPS,Population
"Sullivan County, Indiana",18153,20690
"Switzerland County, Indiana",18155,10717
"Tippecanoe County, Indiana",18157,193048
"Tipton County, Indiana",18159,15128
"Union County, Indiana",18161,7037
"Vanderburgh County, Indiana",18163,180974
"Vermillion County, Indiana",18165,15479
"Vigo County, Indiana",18167,107386
"Wabash County, Indiana",18169,31280
"Warren County, Indiana",18171,8263
"Warrick County, Indiana",18173,62567
"Washington County, Indiana",18175,27943
"Wayne County, Indiana",18177,65936
"Wells County, Indiana",18179,28206
"White County, Indiana",18181,24133
"Whitley County, Indiana",18183,34074
"Adair County, Iowa",19001,7063
"Adams County, Iowa",19003,3645
"Allamakee County, Iowa",19005,13832
"Appanoose County, Iowa",19007,12437
"Audubon County, Iowa",19009,5506
"Benton County, Iowa",19011,25642
"Black Hawk County, Iowa",19013,132408
"Boone County, Iowa",19015,26346
"Bremer County, Iowa",19017,24947
"Buchanan County, Iowa",19019,21199
"Buena Vista County, Iowa",19021,19874
"Butler County, Iowa",19023,14539
"Calhoun County, Iowa",19025,9699
"Carroll County, Iowa",19027,20154
"Cass County, Iowa",19029,12930
"Cedar County, Iowa",19031,18627
"Cerro Gordo County, Iowa",19033,42647
"Cherokee County, Iowa",19035,11321
"Chickasaw County, Iowa",19037,11964
"Clarke County, Iowa",19039,9423
"Clay County, Iowa",19041,16134
"Clayton County, Iowa",19043,17556
"Clinton County, Iowa",19045,46518
"Crawford County, Iowa",19047,17158
"Dallas County, Iowa",19049,90180
"Davis County, Iowa",19051,9017
"Decatur County, Iowa",19053,7890
"Delaware County, Iowa",19055,17069
"Des Moines County, Iowa",19057,39138
"Dickinson County, Iowa",19059,17153
"Dubuque County, Iowa",19061,96854
"Emmet County, Iowa",19063,9253
"Fayette County, Iowa",19065,19660
"Floyd County, Iowa",19067,15761
"Franklin County, Iowa",19069,10124
"Fremont County, Iowa",19071,6993
"Greene County, Iowa",19073,8981
"Grundy County, Iowa",19075,12304
"Guthrie County, Iowa",19077,10720
"Hamilton County, Iowa",19079,14952
"Hancock County, Iowa",19081,10712
"Hardin County, Iowa",19083,16868
"Harrison County, Iowa",19085,14134
"Henry County, Iowa",19087,20067
"Howard County, Iowa",19089,9187
"Humboldt County, Iowa",19091,9547
"Ida County, Iowa",19093,6841
"Iowa County, Iowa",19095,16141
"Jackson County, Iowa",19097,19432
"Jasper County, Iowa",19099,37147
"Jefferson County, Iowa",19101,18381
"Johnson County, Iowa",19103,151260
"Jones County, Iowa",19105,20744
"Keokuk County, Iowa",19107,10225
"Kossuth County, Iowa",19109,14908
"Lee County, Iowa",19111,34055
"Linn County, Iowa",19113,225909
"Louisa County, Iowa",19115,11169
"Lucas County, Iowa",19117,8645
"Lyon County, Iowa",19119,11811
"Madison County, Iowa",19121,16249
"Mahaska County, Iowa",19123,22000
"Marion County, Iowa",19125,33407
"Marshall County, Iowa",19127,39981
"Mills County, Iowa",19129,15063
"Mitchell County, Iowa",19131,10569
"Monona County, Iowa",19133,8679
"Monroe County, Iowa",19135,7790
"Montgomery County, Iowa",19137,10003
"Muscatine County, Iowa",19139,42929
"O'Brien County, Iowa",19141,13840
"Osceola County, Iowa",19143,6040
"Page County, Iowa",19145,15249
"Palo Alto County, Iowa",19147,8929
"Plymouth County, Iowa",19149,25095
"Pocahontas County, Iowa",19151,6740
"Polk County, Iowa",19153,487204
"Pottawattamie County, Iowa",19155,93533
"Poweshiek County, Iowa",19157,18699
"Ringgold County, Iowa",19159,4968
"Sac County, Iowa",19161,9719
"Scott County, Iowa",19163,173283
"Shelby County, Iowa",19165,11578
"Sioux County, Iowa",19167,34909
"Story County, Iowa",19169,98105
"Tama County, Iowa",19171,16904
"Taylor County, Iowa",19173,6191
"Union County, Iowa",19175,12359
"Van Buren County, Iowa",19177,7020
"Wapello County, Iowa",19179,35205
"Warren County, Iowa",19181,51056
"Washington County, Iowa",19183,22141
"Wayne County, Iowa",19185,6401
"Webster County, Iowa",19187,36277
"Winnebago County, Iowa",19189,10518
"Winneshiek County, Iowa",19191,20029
"Woodbury County, Iowa",19193,102539
"Worth County, Iowa",19195,7453
"Wright County, Iowa",19197,12690
"Allen County, Kansas",20001,12444
"Anderson County, Kansas",20003,7878
"Atchison County, Kansas",20005,16193
"Barber County, Kansas",20007,4472
"Barton County, Kansas",20009,26111
"Bourbon County, Kansas",20011,14653
"Brown County, Kansas",20013,9598
"Butler County, Kansas",20015,66765
"Chase County, Kansas",20017,2629
"Chautauqua County, Kansas",20019,3309
"Cherokee County, Kansas",20021,20015
"Cheyenne County, Kansas",20023,2660
"Clark County, Kansas",20025,2005
"Clay County, Kansas",20027,7997
"Cloud County, Kansas",20029,8729
"Coffey County, Kansas",20031,8233
"Comanche County, Kansas",20033,1748
"Cowley County, Kansas",20035,35218
"Crawford County, Kansas",20037,39019
"Decatur County, Kansas",20039,2871
"Dickinson County, Kansas",20041,18717
"Doniphan County, Kansas",20043,7682
"Douglas County, Kansas",20045,121436
"Edwards County, Kansas",20047,2849
"Elk County, Kansas",20049,2508
"Ellis County, Kansas",20051,28710
"Ellsworth County, Kansas",20053,6196
"Finney County, Kansas",20055,36611
"Ford County, Kansas",20057,33888
"Franklin County, Kansas",20059,25631
"Geary County, Kansas",20061,32594
"Gove County, Kansas",20063,2612
"Graham County, Kansas",20065,2492
"Grant County, Kansas",20067,7336
"Gray County, Kansas",20069,6033
"Greeley County, Kansas",20071,1227
"Greenwood County, Kansas",20073,6055
"Hamilton County, Kansas",20075,2607
"Harper County, Kansas",20077,5506
"Harvey County, Kansas",20079,34210
"Haskell County, Kansas",20081,3997
"Hodgeman County, Kansas",20083,1818
"Jackson County, Kansas",20085,13280
"Jefferson County, Kansas",20087,18975
"Jewell County, Kansas",20089,2841
"Johnson County, Kansas",20091,597555
"Kearny County, Kansas",20093,3943
"Kingman County, Kansas",20095,7310
"Kiowa County, Kansas",20097,2516
"Labette County, Kansas",20099,19964
"Lane County, Kansas",20101,1560
"Leavenworth County, Kansas",20103,81352
"Lincoln County, Kansas",20105,3023
"Linn County, Kansas",20107,9750
"Logan County, Kansas",20109,2844
"Lyon County, Kansas",20111,33406
"McPherson County, Kansas",20113,28537
"Marion County, Kansas",20115,11950
"Marshall County, Kansas",20117,9722
"Meade County, Kansas",20119,4146
"Miami County, Kansas",20121,33680
"Mitchell County, Kansas",20123,6150
"Montgomery County, Kansas",20125,32120
"Morris County, Kansas",20127,5521
"Morton County, Kansas",20129,2667
"Nemaha County, Kansas",20131,10155
"Neosho County, Kansas",20133,15951
"Ness County, Kansas",20135,2840
"Norton County, Kansas",20137,5430
"Osage County, Kansas",20139,15941
"Osborne County, Kansas",20141,3475
"Ottawa County, Kansas",20143,5802
"Pawnee County, Kansas",20145,6562
"Phillips County, Kansas",20147,5317
"Pottawatomie County, Kansas",20149,24277
"Pratt County, Kansas",20151,9378
"Rawlins County, Kansas",20153,2508
"Reno County, Kansas",20155,62342
"Republic County, Kansas",20157,4664
"Rice County, Kansas",20159,9531
"Riley County, Kansas",20161,73703
"Rooks County, Kansas",20163,5013
"Rush County, Kansas",20165,3093
"Russell County, Kansas",20167,6907
"Saline County, Kansas",20169,54401
"Scott County, Kansas",20171,4897
"Sedgwick County, Kansas",20173,513607
"Seward County, Kansas",20175,21780
"Shawnee County, Kansas",20177,177499
"Sheridan County, Kansas",20179,2533
"Sherman County, Kansas",20181,5899
"Smith County, Kansas",20183,3603
"Stafford County, Kansas",20185,4178
"Stanton County, Kansas",20187,1987
"Stevens County, Kansas",20189,5559
"Sumner County, Kansas",20191,22996
"Thomas County, Kansas",20193,7711
"Trego County, Kansas",20195,2793
"Wabaunsee County, Kansas",20197,6899
"Wallace County, Kansas",20199,1503
"Washington County, Kansas",20201,5420
"Wichita County, Kansas",20203,2105
"Wilson County, Kansas",20205,8665
"Woodson County, Kansas",20207,3183
"Wyandotte County, Kansas",20209,165324
"Adair County, Kentucky",21001,19215
"Allen County, Kentucky",21003,21122
"Anderson County, Kentucky",21005,22663
"Ballard County, Kentucky",21007,7979
"Barren County, Kentucky",21009,44176
"Bath County, Kentucky",21011,12383
"Bell County, Kentucky",21013,26569
"Boone County, Kentucky",21015,131533
"Bourbon County, Kentucky",21017,20184
"Boyd County, Kentucky",21019,47240
"Boyle County, Kentucky",21021,30100
"Bracken County, Kentucky",21023,8239
"Breathitt County, Kentucky",21025,12726
"Breckinridge County, Kentucky",21027,20388
"Bullitt County, Kentucky",21029,81069
"Butler County, Kentucky",21031,12772
"Caldwell County, Kentucky",21033,12715
"Calloway County, Kentucky",21035,39135
"Campbell County, Kentucky",21037,93152
"Carlisle County, Kentucky",21039,4771
"Carroll County, Kentucky",21041,10737
"Carter County, Kentucky",21043,27004
"Casey County, Kentucky",21045,15888
"Christian County, Kentucky",21047,71671
"Clark County, Kentucky",21049,36249
"Clay County, Kentucky",21051,20105
"Clinton County, Kentucky",21053,10206
"Crittenden County, Kentucky",21055,8915
"Cumberland County, Kentucky",21057,6659
"Daviess County, Kentucky",21059,101104
"Edmonson County, Kentucky",21061,12274
"Elliott County, Kentucky",21063,7508
"Estill County, Kentucky",21065,14198
"Fayette County, Kentucky",21067,323780
"Fleming County, Kentucky",21069,14432
"Floyd County, Kentucky",21071,35845
"Franklin County, Kentucky",21073,50815
"Fulton County, Kentucky",21075,6120
"Gallatin County, Kentucky",21077,8832
"Garrard County, Kentucky",21079,17560
"Grant County, Kentucky",21081,25121
"Graves County, Kentucky",21083,37317
"Grayson County, Kentucky",21085,26321
"Green County, Kentucky",21087,11049
"Greenup County, Kentucky",21089,35268
"Hancock County, Kentucky",21091,8758
"Hardin County, Kentucky",21093,110356
"Harlan County, Kentucky",21095,26409
"Harrison County, Kentucky",21097,18778
"Hart County, Kentucky",21099,18906
"Henderson County, Kentucky",21101,45591
"Henry County, Kentucky",21103,16106
"Hickman County, Kentucky",21105,4421
"Hopkins County, Kentucky",21107,45068
"Jackson County, Kentucky",21109,13442
"Jefferson County, Kentucky",21111,770517
"Jessamine County, Kentucky",21113,53920
"Johnson County, Kentucky",21115,22386
"Kenton County, Kentucky",21117,166051
"Knott County, Kentucky",21119,15126
"Knox County, Kentucky",21121,31304
"Larue County, Kentucky",21123,14307
"Laurel County, Kentucky",21125,60669
"Lawrence County, Kentucky",21127,15571
"Lee County, Kentucky",21129,7033
"Leslie County, Kentucky",21131,10143
"Letcher County, Kentucky",21133,21899
"Lewis County, Kentucky",21135,13257
"Lincoln County, Kentucky",21137,24644
"Livingston County, Kentucky",21139,9242
"Logan County, Kentucky",21141,26989
"Lyon County, Kentucky",21143,8009
"McCracken County, Kentucky",21145,65346
"McCreary County, Kentucky",21147,17408
"McLean County, Kentucky",21149,9252
"Madison County, Kentucky",21151,92368
"Magoffin County, Kentucky",21153,12362
"Marion County, Kentucky",21155,19404
"Marshall County, Kentucky",21157,31191
"Martin County, Kentucky",21159,11323
"Mason County, Kentucky",21161,17150
"Meade County, Kentucky",21163,28715
"Menifee County, Kentucky",21165,6451
"Mercer County, Kentucky",21167,21774
"Metcalfe County, Kentucky",21169,10030
"Monroe County, Kentucky",21171,10718
"Montgomery County, Kentucky",21173,28203
"Morgan County, Kentucky",21175,13345
"Muhlenberg County, Kentucky",21177,30774
"Nelson County, Kentucky",21179,45851
"Nicholas County, Kentucky",21181,7166
"Ohio County, Kentucky",21183,24087
"Oldham County, Kentucky",21185,66470
"Owen County, Kentucky",21187,10880
"Owsley County, Kentucky",21189,4472
"Pendleton County, Kentucky",21191,14529
"Perry County, Kentucky",21193,26092
"Pike County, Kentucky",21195,58402
"Powell County, Kentucky",21197,12442
"Pulaski County, Kentucky",21199,64623
"Robertson County, Kentucky",21201,2135
"Rockcastle County, Kentucky",21203,16750
"Rowan County, Kentucky",21205,24583
"Russell County, Kentucky",21207,17821
"Scott County, Kentucky",21209,56031
"Shelby County, Kentucky",21211,48518
"Simpson County, Kentucky",21213,18529
"Spencer County, Kentucky",21215,18794
"Taylor County, Kentucky",21217,25549
"Todd County, Kentucky",21219,12311
"Trigg County, Kentucky",21221,14643
"Trimble County, Kentucky",21223,8515
"Union County, Kentucky",21225,14505
"Warren County, Kentucky",21227,131264
"Washington County, Kentucky",21229,12084
"Wayne County, Kentucky",21231,20468
"Webster County, Kentucky",21233,13111
"Whitley County, Kentucky",21235,36242
"Wolfe County, Kentucky",21237,7177
"Woodford County, Kentucky",21239,26533
"Acadia Parish, Louisiana",22001,62190
"Allen Parish, Louisiana",22003,25605
"Ascension Parish, Louisiana",22005,124672
"Assumption Parish, Louisiana",22007,22300
"Avoyelles Parish, Louisiana",22009,40462
"Beauregard Parish, Louisiana",22011,37253
"Bienville Parish, Louisiana",22013,13308
"Bossier Parish, Louisiana",22015,127185
"Caddo Parish, Louisiana",22017,242922
"Calcasieu Parish, Louisiana",22019,203112
"Caldwell Parish, Louisiana",22021,9960
"Cameron Parish, Louisiana",22023,6968
"Catahoula Parish, Louisiana",22025,9608
"Claiborne Parish, Louisiana",22027,15944
"Concordia Parish, Louisiana",22029,19572
"De Soto Parish, Louisiana",22031,27436
"East Baton Rouge Parish, Louisiana",22033,440956
"East Carroll Parish, Louisiana",22035,7037
"East Feliciana Parish, Louisiana",22037,19305
"Evangeline Parish, Louisiana",22039,33443
"Franklin Parish, Louisiana",22041,20156
"Grant Parish, Louisiana",22043,22482
"Iberia Parish, Louisiana",22045,70941
"Iberville Parish, Louisiana",22047,32721
"Jackson Parish, Louisiana",22049,15902
"Jefferson Parish, Louisiana",22051,434051
"Jefferson Davis Parish, Louisiana",22053,31582
"Lafayette Parish, Louisiana",22055,242782
"Lafourche Parish, Louisiana",22057,98115
"LaSalle Parish, Louisiana",22059,14917
"Lincoln Parish, Louisiana",22061,47196
"Livingston Parish, Louisiana",22063,139567
"Madison Parish, Louisiana",22065,11161
"Morehouse Parish, Louisiana",22067,25398
"Natchitoches Parish, Louisiana",22069,38659
"Orleans Parish, Louisiana",22071,391006
"Ouachita Parish, Louisiana",22073,154475
"Plaquemines Parish, Louisiana",22075,23410
"Pointe Coupee Parish, Louisiana",22077,21940
"Rapides Parish, Louisiana",22079,130562
"Red River Parish, Louisiana",22081,8477
"Richland Parish, Louisiana",22083,20192
"Sabine Parish, Louisiana",22085,24032
"St. Bernard Parish, Louisiana",22087,46721
"St. Charles Parish, Louisiana",22089,52879
"St. Helena Parish, Louisiana",22091,10262
"St. James Parish, Louisiana",22093,21037
"St. John the Baptist Parish, Louisiana",22095,43184
"St. Landry Parish, Louisiana",22097,82764
"St. Martin Parish, Louisiana",22099,53621
"St. Mary Parish, Louisiana",22101,49774
"St. Tammany Parish, Louisiana",22103,258111
"Tangipahoa Parish, Louisiana",22105,133777
"Tensas Parish, Louisiana",22107,4462
"Terrebonne Parish, Louisiana",22109,111021
"Union Parish, Louisiana",22111,22330
"Vermilion Parish, Louisiana",22113,59830
"Vernon Parish, Louisiana",22115,48860
"Washington Parish, Louisiana",22117,46582
"Webster Parish, Louisiana",22119,38798
"West Baton Rouge Parish, Louisiana",22121,26427
"West Carroll Parish, Louisiana",22123,10982
"West Feliciana Parish, Louisiana",22125,15460
"Winn Parish, Louisiana",22127,14134
"Androscoggin County, Maine",23001,107679
"Aroostook County, Maine",23003,67111
"Cumberland County, Maine",23005,293557
"Franklin County, Maine",23007,29897
"Hancock County, Maine",23009,54811
"Kennebec County, Maine",23011,122083
"Knox County, Maine",23013,39771
"Lincoln County, Maine",23015,34342
"Oxford County, Maine",23017,57618
"Penobscot County, Maine",23019,151096
"Piscataquis County, Maine",23021,16800
"Sagadahoc County, Maine",23023,35634
"Somerset County, Maine",23025,50592
"Waldo County, Maine",23027,39694
"Washington County, Maine",23029,31490
"York County, Maine",23031,206229
"Allegany County, Maryland",24001,70975
"Anne Arundel County, Maryland",24003,576031
"Baltimore County, Maryland",24005,828431
"Calvert County, Maryland",24009,92003
"Caroline County, Maryland",24011,33304
"Carroll County, Maryland",24013,168429
"Cecil County, Maryland",24015,102826
"Charles County, Maryland",24017,161503
"Dorchester County, Maryland",24019,31998
"Frederick County, Maryland",24021,255648
"Garrett County, Maryland",24023,29163
"Harford County, Maryland",24025,253956
"Howard County, Maryland",24027,323196
"Kent County, Maryland",24029,19383
"Montgomery County, Maryland",24031,1052567
"Prince George's County, Maryland",24033,909308
"Queen Anne's County, Maryland",24035,50251
"St. Mary's County, Maryland",24037,112664
"Somerset County, Maryland",24039,25675
"Talbot County, Maryland",24041,36968
"Washington County, Maryland",24043,150926
"Wicomico County, Maryland",24045,103195
"Worcester County, Maryland",24047,51823
"Baltimore city, Maryland",24510,602495
"Barnstable County, Massachusetts",25001,213413
"Berkshire County, Massachusetts",25003,126348
"Bristol County, Massachusetts",25005,564022
"Dukes County, Massachusetts",25007,17352
"Essex County, Massachusetts",25009,790638
"Franklin County, Massachusetts",25011,70963
"Hampden County, Massachusetts",25013,470406
"Hampshire County, Massachusetts",25015,161355
"Middlesex County, Massachusetts",25017,1614714
"Nantucket County, Massachusetts",25019,11327
"Norfolk County, Massachusetts",25021,705388
"Plymouth County, Massachusetts",25023,518132
"Suffolk County, Massachusetts",25025,807252
"Worcester County, Massachusetts",25027,830839
"Alcona County, Michigan",26001,10362
"Alger County, Michigan",26003,9097
"Allegan County, Michigan",26005,117327
"Alpena County, Michigan",26007,28360
"Antrim County, Michigan",26009,23365
"Arenac County, Michigan",26011,15041
"Baraga County, Michigan",26013,8320
"Barry County, Michigan",26015,61157
"Bay County, Michigan",26017,103923
"Benzie County, Michigan",26019,17753
"Berrien County, Michigan",26021,154141
"Branch County, Michigan",26023,43622
"Calhoun County, Michigan",26025,134487
"Cass County, Michigan",26027,51653
"Charlevoix County, Michigan",26029,26244
"Cheboygan County, Michigan",26031,25413
"Chippewa County, Michigan",26033,37517
"Clare County, Michigan",26035,30757
"Clinton County, Michigan",26037,79332
"Crawford County, Michigan",26039,13901
"Delta County, Michigan",26041,35857
"Dickinson County, Michigan",26043,25383
"Eaton County, Michigan",26045,109826
"Emmet County, Michigan",26047,33308
"Genesee County, Michigan",26049,406892
"Gladwin County, Michigan",26051,25337
"Gogebic County, Michigan",26053,15096
"Grand Traverse County, Michigan",26055,92573
"Gratiot County, Michigan",26057,40599
"Hillsdale County, Michigan",26059,45749
"Houghton County, Michigan",26061,36219
"Huron County, Michigan",26063,31166
"Ingham County, Michigan",26065,292735
"Ionia County, Michigan",26067,64210
"Iosco County, Michigan",26069,25081
"Iron County, Michigan",26071,11117
"Isabella County, Michigan",26073,70562
"Jackson County, Michigan",26075,158823
"Kalamazoo County, Michigan",26077,264870
"Kalkaska County, Michigan",26079,17824
"Kent County, Michigan",26081,653786
"Keweenaw County, Michigan",26083,2113
"Lake County, Michigan",26085,11881
"Lapeer County, Michigan",26087,88028
"Leelanau County, Michigan",26089,21764
"Lenawee County, Michigan",26091,98266
"Livingston County, Michigan",26093,191224
"Luce County, Michigan",26095,6283
"Mackinac County, Michigan",26097,10787
"Macomb County, Michigan",26099,874759
"Manistee County, Michigan",26101,24528
"Marquette County, Michigan",26103,66516
"Mason County, Michigan",26105,29100
"Mecosta County, Michigan",26107,43545
"Menominee County, Michigan",26109,22983
"Midland County, Michigan",26111,83209
"Missaukee County, Michigan",26113,15113
"Monroe County, Michigan",26115,150439
"Montcalm County, Michigan",26117,63968
"Montmorency County, Michigan",26119,9265
"Muskegon County, Michigan",26121,173588
"Newaygo County, Michigan",26123,48892
"Oakland County, Michigan",26125,1259201
"Oceana County, Michigan",26127,26625
"Ogemaw County, Michigan",26129,20952
"Ontonagon County, Michigan",26131,5795
"Osceola County, Michigan",26133,23341
"Oscoda County, Michigan",26135,8276
"Otsego County, Michigan",26137,24665
"Ottawa County, Michigan",26139,290494
"Presque Isle County, Michigan",26141,12738
"Roscommon County, Michigan",26143,23884
"Saginaw County, Michigan",26145,190800
"St. Clair County, Michigan",26147,159337
"St. Joseph County, Michigan",26149,61043
"Sanilac County, Michigan",26151,41182
"Schoolcraft County, Michigan",26153,8068
"Shiawassee County, Michigan",26155,68192
"Tuscola County, Michigan",26157,52516
"Van Buren County, Michigan",26159,75448
"Washtenaw County, Michigan",26161,370963
"Wayne County, Michigan",26163,1753893
"Wexford County, Michigan",26165,33466
"Aitkin County, Minnesota",27001,15902
"Anoka County, Minnesota",27003,353813
"Becker County, Minnesota",27005,34371
"Beltrami County, Minnesota",27007,46847
"Benton County, Minnesota",27009,40545
"Big Stone County, Minnesota",27011,4989
"Blue Earth County, Minnesota",27013,67427
"Brown County, Minnesota",27015,25111
"Carlton County, Minnesota",27017,35837
"Carver County, Minnesota",27019,103551
"Cass County, Minnesota",27021,29519
"Chippewa County, Minnesota",27023,11924
"Chisago County, Minnesota",27025,55922
"Clay County, Minnesota",27027,63955
"Clearwater County, Minnesota",27029,8810
"Cook County, Minnesota",27031,5393
"Cottonwood County, Minnesota",27033,11277
"Crow Wing County, Minnesota",27035,64889
"Dakota County, Minnesota",27037,425423
"Dodge County, Minnesota",27039,20822
"Douglas County, Minnesota",27041,37964
"Faribault County, Minnesota",27043,13758
"Fillmore County, Minnesota",27045,21058
"Freeborn County, Minnesota",27047,30444
"Goodhue County, Minnesota",27049,46403
"Grant County, Minnesota",27051,6021
"Hennepin County, Minnesota",27053,1259428
"Houston County, Minnesota",27055,18578
"Hubbard County, Minnesota",27057,21332
"Isanti County, Minnesota",27059,39966
"Itasca County, Minnesota",27061,45108
"Jackson County, Minnesota",27063,9911
"Kanabec County, Minnesota",27065,16207
"Kandiyohi County, Minnesota",27067,42855
"Kittson County, Minnesota",27069,4248
"Koochiching County, Minnesota",27071,12440
"Lac qui Parle County, Minnesota",27073,6658
"Lake County, Minnesota",27075,10658
"Lake of the Woods County, Minnesota",27077,3758
"Le Sueur County, Minnesota",27079,28494
"Lincoln County, Minnesota",27081,5673
"Lyon County, Minnesota",27083,25629
"McLeod County, Minnesota",27085,35873
"Mahnomen County, Minnesota",27087,5519
"Marshall County, Minnesota",27089,9390
"Martin County, Minnesota",27091,19785
"Meeker County, Minnesota",27093,23141
"Mille Lacs County, Minnesota",27095,26139
"Morrison County, Minnesota",27097,33169
"Mower County, Minnesota",27099,40011
"Murray County, Minnesota",27101,8276
"Nicollet County, Minnesota",27103,34220
"Nobles County, Minnesota",27105,21924
"Norman County, Minnesota",27107,6475
"Olmsted County, Minnesota",27109,156277
"Otter Tail County, Minnesota",27111,58812
"Pennington County, Minnesota",27113,14178
"Pine County, Minnesota",27115,29483
"Pipestone County, Minnesota",27117,9047
"Polk County, Minnesota",27119,31529
"Pope County, Minnesota",27121,11097
"Ramsey County, Minnesota",27123,550210
"Red Lake County, Minnesota",27125,3999
"Redwood County, Minnesota",27127,15249
"Renville County, Minnesota",27129,14612
"Rice County, Minnesota",27131,66523
"Rock County, Minnesota",27133,9414
"Roseau County, Minnesota",27135,15150
"St. Louis County, Minnesota",27137,199754
"Scott County, Minnesota",27139,147381
"Sherburne County, Minnesota",27141,96036
"Sibley County, Minnesota",27143,15028
"Stearns County, Minnesota",27145,159256
"Steele County, Minnesota",27147,36803
"Stevens County, Minnesota",27149,9753
"Swift County, Minnesota",27151,9345
"Todd County, Minnesota",27153,24582
"Traverse County, Minnesota",27155,3308
"Wabasha County, Minnesota",27157,21645
"Wadena County, Minnesota",27159,13773
"Waseca County, Minnesota",27161,18691
"Washington County, Minnesota",27163,259201
"Watonwan County, Minnesota",27165,10980
"Wilkin County, Minnesota",27167,6254
"Winona County, Minnesota",27169,50825
"Wright County, Minnesota",27171,136349
"Yellow Medicine County, Minnesota",27173,9795
"Adams County, Mississippi",28001,31192
"Alcorn County, Mississippi",28003,36925
"Amite County, Mississippi",28005,12326
"Attala County, Mississippi",28007,18365
"Benton County, Mississippi",28009,8271
"Bolivar County, Mississippi",28011,31333
"Calhoun County, Mississippi",28013,14436
"Carroll County, Mississippi",28015,9911
"Chickasaw County, Mississippi",28017,17171
"Choctaw County, Mississippi",28019,8278
"Claiborne County, Mississippi",28021,9002
"Clarke County, Mississippi",28023,15604
"Clay County, Mississippi",28025,19386
"Coahoma County, Mississippi",28027,22628
"Copiah County, Mississippi",28029,28543
"Covington County, Mississippi",28031,18853
"DeSoto County, Mississippi",28033,182001
"Forrest County, Mississippi",28035,75036
"Franklin County, Mississippi",28037,7788
"George County, Mississippi",28039,24250
"Greene County, Mississippi",28041,13586
"Grenada County, Mississippi",28043,21055
"Hancock County, Mississippi",28045,47334
"Harrison County, Mississippi",28047,206650
"Hinds County, Mississippi",28049,237085
"Holmes County, Mississippi",28051,17622
"Humphreys County, Mississippi",28053,8257
"Issaquena County, Mississippi",28055,1308
"Itawamba County, Mississippi",28057,23517
"Jackson County, Mississippi",28059,143277
"Jasper County, Mississippi",28061,16428
"Jefferson County, Mississippi",28063,7106
"Jefferson Davis County, Mississippi",28065,11234
"Jones County, Mississippi",28067,68461
"Kemper County, Mississippi",28069,10027
"Lafayette County, Mississippi",28071,54793
"Lamar County, Mississippi",28073,62447
"Lauderdale County, Mississippi",28075,75317
"Lawrence County, Mississippi",28077,12455
"Leake County, Mississippi",28079,22763
"Lee County, Mississippi",28081,85202
"Leflore County, Mississippi",28083,28919
"Lincoln County, Mississippi",28085,34205
"Lowndes County, Mississippi",28087,58930
"Madison County, Mississippi",28089,105630
"Marion County, Mississippi",28091,24715
"Marshall County, Mississippi",28093,35451
"Monroe County, Mississippi",28095,35564
"Montgomery County, Mississippi",28097,10023
"Neshoba County, Mississippi",28099,29125
"Newton County, Mississippi",28101,21443
"Noxubee County, Mississippi",28103,10535
"Oktibbeha County, Mississippi",28105,49599
"Panola County, Mississippi",28107,34178
"Pearl River County, Mississippi",28109,55387
"Perry County, Mississippi",28111,11931
"Pike County, Mississippi",28113,39563
"Pontotoc County, Mississippi",28115,31833
"Prentiss County, Mississippi",28117,25315
"Quitman County, Mississippi",28119,7051
"Rankin County, Mississippi",28121,153902
"Scott County, Mississippi",28123,28287
"Sharkey County, Mississippi",28125,4377
"Simpson County, Mississippi",28127,26758
"Smith County, Mississippi",28129,16002
"Stone County, Mississippi",28131,18717
"Sunflower County, Mississippi",28133,25735
"Tallahatchie County, Mississippi",28135,13987
"Tate County, Mississippi",28137,28759
"Tippah County, Mississippi",28139,21995
"Tishomingo County, Mississippi",28141,19454
"Tunica County, Mississippi",28143,9944
"Union County, Mississippi",28145,28606
"Walthall County, Mississippi",28147,14465
"Warren County, Mississippi",28149,46176
"Washington County, Mississippi",28151,45063
"Wayne County, Mississippi",28153,20298
"Webster County, Mississippi",28155,9788
"Wilkinson County, Mississippi",28157,8792
"Winston County, Mississippi",28159,18165
"Yalobusha County, Mississippi",28161,12392
"Yazoo County, Mississippi",28163,28248
"Adair County, Missouri",29001,25339
"Andrew County, Missouri",29003,17607
"Atchison County, Missouri",29005,5171
"Audrain County, Missouri",29007,25473
"Barry County, Missouri",29009,35886
"Barton County, Missouri",29011,11798
"Bates County, Missouri",29013,16320
"Benton County, Missouri",29015,19278
"Bollinger County, Missouri",29017,12169
"Boone County, Missouri",29019,180005
"Buchanan County, Missouri",29021,88571
"Butler County, Missouri",29023,42639
"Caldwell County, Missouri",29025,9108
"Callaway County, Missouri",29027,44889
"Camden County, Missouri",29029,45815
"Cape Girardeau County, Missouri",29031,78753
"Carroll County, Missouri",29033,8743
"Carter County, Missouri",29035,6054
"Cass County, Missouri",29037,104954
"Cedar County, Missouri",29039,14165
"Chariton County, Missouri",29041,7451
"Christian County, Missouri",29043,86983
"Clark County, Missouri",29045,6842
"Clay County, Missouri",29047,246365
"Clinton County, Missouri",29049,20470
"Cole County, Missouri",29051,76796
"Cooper County, Missouri",29053,17603
"Crawford County, Missouri",29055,23957
"Dade County, Missouri",29057,7569
"Dallas County, Missouri",29059,16762
"Daviess County, Missouri",29061,8313
